Name,ID,number of warnings,Reason,Date (YYYY-MM-DD),Expiry - 60 / ∞ / ∅
sam,250039556567465984,,Disrupting voice chat,2016-12-17,
killr,259530257302945792,,disrupting voice chat,2016-12-17,
sam,250039556567465984,,"defiance of mods, we told him to stop at his first warning and he went at it again",2016-12-17,
UndertaleTrash420,259035467331272706,,Posting irrelevant images in newhome.,2016-12-16,
Katiebug586,157238090593861632,,Harassment in DMs.,2016-12-16,
Doktor_Luke,194181911231463424,,permanent warning from a sucessfull appeal,2016-12-16,∞
Radio,150237761322876928,,threatened to blackmail a user who was lying,2016-12-16,
Yato,259348661878652928,,Stealing art and telling people it was their own art in #mediaclub.,2016-12-16,
Undertalethrash420,259035467331272706,,Defiance of mods,2016-12-16,
Christmas Bob Ross,248465548126584833,,Server shill,2016-12-16,
Annuit Coeptis,253055896580653056,,Singing that shrek song after many attempts from staff and users to stop: kicked from inactivity,2016-12-16,
VeniGamiz,158330542172012544,,Permanent warning for appeal,2016-12-15,∞
HyperSonicX1,154002957648658432,,Spamming custom emotes in newhome.,2016-12-15,
Madzci,102298195505188864,,"abused/circumvented delete tracker, offensive to mods, rule lawyering, toxic to other users.",2016-12-14,user is banned
hoppsxnickshipfurryxd,239430072686084097,,offensive avatar,2016-12-14,
⎠⎞⎛⎝【ĞĤŦ】[ØאĐ]אＮØ.ƗØǤÃϻ€Ş⎠⎞⎛⎝,238962211404382209,,"Defiance of mods, didn't want to change nickname at first",2016-12-14,
epicdinoman,163322218670063616,,trying to derail with touchy subjects,2016-12-13,
Abyss,238348590727168000,,Server Shilling in DM,2016-12-13,"victim' was Girlycreeper, if that'll come in handy later"
The_Stargazer,217586226146967552,,"Stirring up chats since they joined, rule lawyering in #musicbox",2016-12-13,
The_Stargazer,217586226146967552,,"Making badly timed jokes in #judgmenthall, further rule lawyering",2016-12-13,
isy,138690842696089601,,Impersonatinng rice and getting her to leave,2016-12-13,
isy,138690842696089601,,Insulting another user and not stopping until mod intervention,2016-12-13,
Vixtron,99808569574031360,,Being rude to a mod,2016-12-12,http://i.imgur.com/pxDlAYs.png
P1k@chu,162392307021250560,,Bot abuse,2016-12-10,
P1k@chu,162392307021250560,,Rude to mods in #judmenthall,2016-12-10,
P1k@chu,162392307021250560,,Even more mod disrespect,2016-12-10,Banned for third warning
calciumAddict,192352940382617600,,Didn't read flowerbed,2016-12-10,
VGMaster Oshea,200020471511515136,,sending a user creepy PMs,2016-12-10,
Abyss,238348590727168000,,"Being a minimod, despite being told not to",2016-12-09,"He's 16 years old and somehow really bad in english, kek"
crispy,250023236937580547,," Spamming a link embed in newhome; kicked from inactivity
",2016-12-09,"kicked from inactivity
"
Droxy,132542015895240704,,Permanent warning due to unban.,2016-12-07,∞
TheRexxar,232956318196039700,,Posted lewd stuff in #newhome due to miscommunication of rules,2016-12-06,
MattPatt,209093109450145792,,Defiance of Mods + Disturbing #newhome,2016-12-06,
PankakesOfChistmas,255373056568983555,,Rule 2 Violation: Server shilling in newhome,2016-12-06,
smug alps,255183345464508417,,"not listening to mods, general attitude",2016-12-05,
♥Asriel♥,191051689208315904,,Roleplaying and spam in newhome,2016-12-05,
InxTheSquid,122043518544904192,,Disturbing chat in #newhome,2016-12-05,His age is confirmed to be 18+
Creator of Soul,217297897207758848,,"came on, failed to server shill, dm'd people, and when brought into #judgmenthall, did a weird roleplay",2016-12-03,I don't even
jacks property,123849409904640000,,didn't read the rules and violated rule 1c and 6.,2016-12-01,maybe we want to log him a double warning?
jacks property,123849409904640000,,double ranga,2016-12-01,"user left the server, we thought he was still foreboden and banned
"
mattpatt,209093109450145792,,spamming capital messages in #newhome after admin intervention,2016-11-30,
schleckenmiester,237724699935637504,,kept memeing in newhome despite being told to stop,2016-11-30,"nothing to add here, he didn't read it i guess"
radiobot,150237761322876928,,shitposting in #support,2016-11-28,
christmax,137701482983063552,,enticing people to freak out about raids.,2016-11-27,
paper toad,229468880215474178,,micspam in hotel room 2,2016-11-25,
-nobody,152598855580385280,,"nsfw content in a hotel room, normaly wouldn't let this go but i'll allow once this exception",2016-11-24,
arora,227237806538227722,,server shilling in #newhome,2016-11-24,Didn't read the rules after 2 months -_-
hoppsxnickshippedxdee,239430072686084097,,"obviously hasn't read the rules, being memeish in newhome, asking for.nsfw as underage",2016-11-24,
toko13,148313445354307584,,disrupting <#120330239996854274> with purposefully intrusive shipping commentary.,2016-11-22,
u,132319000179769344,,"Posting jumpscares, left while foreboden",2016-11-22,User is banned
waluigi,159701274433028096,,ban appealed ('brother got into my account') | permanent,2016-11-22,∞
sans the skeleton,234377524463927296,,posted updog after being told not to,2016-11-22,
madzci,102298195505188864,,went at a user and refused to drop said subject when asked to,2016-11-22,
kalozam,194181784919867392,,"repetitive memeing in newhome, third warning.",2016-11-21,User is banned.
rice,208633263303032834,,permanant warning for ban appeal,2016-11-21,∞
kalozam,194181784919867392,,Continuous meme posting in newhome,2016-11-20,User is banned.
sneezed,201174461104390145,,"posting unrelated memes in newhome, being agressive to staff",2016-11-18,user left while foreboden
kalozam,194181784919867392,,posting memes in newhome after purge,2016-11-18,User is banned.
crispy dong,230814873125126144,,posting a meme in newhome after a purge and a forebode for also posting a meme,2016-11-18,"
"
plutus,158673197921861633,,use of everyone mention for no good reason.,2016-11-17,oh he got banned right afterwards lol what made him possibly think that's a good idea
InxtTheSquid,122043518544904192,,spamming non-bot content in <#120331959703568386>.,2016-11-17,
xTech,226409823695011840,,"being toxic to all users, including mods (eg.""go die"")",2016-11-17,
dark nate,176087030214819842,,Derailing newhome with inappropriate content,2016-11-15,banne
Nyura,229071340202622976,,Appealed (perma),2016-11-14,Permanent warning; no expiry ∞
dark nate,176087030214819842,,"spamming unrelated images in newhome - same images as yestderday, which we didn't log.
",2016-11-14,banne
TheFlaberGASTERedGamer,243422016286228481,,Harrassing other users in DMs,2016-11-14,
SomaticMizuSan,119255861389557766,,Posting a screenshot of Undertale gameplay on PornHub...said screenshot happened to contain an advertisement for free blowjobs... ._.,2016-11-13,
Jimmy,202369432130027520,,"DMed hateful, terrible insults instantlly after a guy got banned for doing so with the exact same text.",2016-11-13,
Yoobii,146765572586209280,,Impersonatinng rice and getting her to leave,2016-11-13,
GenoSans,173377300690108416,,Spamming users with line breaks,2016-11-12,
GenoSans,173377300690108416,,"Spamming in #newhome, defiance of mods when asked to stop",2016-11-11,
Sans Pun Master,241901626477117440,,"Posting unrelated images in #newhome and other channels, bot abuse, admitting to not reading #flowerbed",2016-11-11,User Is Banned
Christmas GenoSans,173377300690108416,,"Posting an unwanted script that calls for malicious programs, which didn't work. Also harrased a user to download said malicious programs and uploaded a terrible attempt at a zip bomb.",2016-11-11,
coolio,246755218124046336,,"Spammed in newhome, didn't respond in judgmenthall",2016-11-11,User kicked due to inactivity
(He) Mercury Is Cool,232198673323261963,,"Long, all-caps spam message in #mediaclub",2016-11-08,
Just Gary,221353586477498369,,"Calling other users names, then proceeding to defend themselves under the argument of ""free speech""",2016-11-08,"
"
TheSANSationalgamer,243422016286228481,,"spamming in newhome, said he would spam rickroll when a mod said to stop spamming, did so",2016-11-07,
ouchys,235353619132579843,,Disruption in support,2016-11-06,
sans the small skeleton,244871650615492609,,"disrupting newhome, especially with suggestive images",2016-11-06,
Lincoln Loud,222102351714975744,,"Disrupting newhome with unrelated images, arguing with mods in #jugmenthall",2016-11-06,Banned
ouchys,235353619132579843,,"Spamming in newhome, starting an argument about the rules in judgmenthall without even reading them before",2016-11-05,
leilani the meowth,225342669583417344,,Posting Unrelated memes in newhome despite being told to stop 5 times.,2016-11-04,
Boi,152283580557557761,,Spamming emotes in newhome,2016-11-04,
Exotic Butters,212779503607480321,,"Being disruptive and insensitive, trying to queue memes in musicbox and then picking a fight with the mods",2016-11-03,left while foreboden
Miloteza,231877014611689472,,"Derailing newhome multiple times, and spreading potentially false and disruptive information about other random people ",2016-11-02,
Miloteza,231877014611689472,,"Ignoring moderators, continuing to derail #newhome with unrelated content",2016-11-02,
Purple Star,197068002385068032,,"Publically discussed vore fetishes with alt ""Charafan69""",2016-10-30,alt was banned
Purple Star,197068002385068032,,Creating said alt in the first place,2016-10-30,
rice,208633263303032834,,Continued to meme after being told not to.,2016-10-29,
SunnyGoSpooky,194885901611040769,,Continued to meme after being told not to.,2016-10-29,
Madzci,102298195505188864,,Insisted on a warning after starting a meme,2016-10-29,
HutchJumper,205113202747375618,,Continued to meme after being told not to.,2016-10-29,
hamodebu50,236132990340694017,,"Derailing newhome with physics trivia questions, and being a general dick to everyone",2016-10-27,
error sans#1137,240297611590893569,,Advertising starting a roleplay server in #roleplay,2016-10-27,
rice/worthless,208633263303032834,,posted a picture of another user and attacked them,2016-10-27,
Midna,188817085760143360,,Continued to shipost in #newhome after being asked to stop,2016-10-25,
Skeptic Swine,96671707519029248,,His toxicity knows no bounds,2016-10-25,Banned and never coming back
Korza TheLord,232419839350669312,,Shitposting even after being asked to stop,2016-10-25,
Riince,138344069553324032,,Rude to Staff,2016-10-24,
FL | Aurum,178670844837363712,,Innapropriate/derogatory vocabulary in #newhome ,2016-10-23,
Faulin,200479680745308160,,Proceeded to +expand after I asked another user to stop,2016-10-23,
GUO,233361956357144577,,"Posting walls of binary in #newhome, claiming that ""his finger slipped"" and ""he's left-handed""",2016-10-22,
ƎƝdᒺƎ꒚꒚ / ƀᒺƠƝd(Ǝ),192336550959382528,,Telling people to not read the rules,2016-10-22,
ƎƝdᒺƎ꒚꒚ / ƀᒺƠƝd(Ǝ),192336550959382528,,Insulting Mods,2016-10-22,
ƎƝdᒺƎ꒚꒚ / ƀᒺƠƝd(Ǝ),192336550959382528,,,2016-10-22,Banned
JamieTDM,239121248695615488,,"Posted questionable pictures in multiple chats, also admitted to not having read #flowerbed",2016-10-21,
rice mcfacto,208633263303032834,,Posted questionable looking phallic cheese in #newhome,2016-10-16,
Skeptic Swine,96671707519029248,,Posting irrelevant meme posts in #home,2016-10-15,
20baisju,236666799511437312,,trolling and spamming,2016-10-15,
